"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
294472,1,"Rory Atkins","ADE","21","MID",,75.5,25,"97",95,85,95,85,79,91,,93
293193,2,"Luke Brown","ADE","16","DEF",,68,27,"150",40,75,45,56,79,60,,52.5
1004995,3,"Jordon Butts","ADE","41","DEF",,0,20,"",55,80,58,,,,,58
993796,4,"Ben Crocker","ADE","20","FWD",,35,22,"26",59,75,67,56,82,58,,62.5
294307,5,"Brad Crouch","ADE","2","MID",,98.36,25,"83",99,70,120,94,79,101,,110.5
297401,6,"Matt Crouch","ADE","5","MID",,103.68,24,"109",85,64,113,88,80,94,,103.5
298417,7,"Ben Davis","ADE","40","FWD",,22,22,"1",55,79,59,43,81,45,,52
1000932,8,"Tom Doedee","ADE","39","DEF",,56,22,"21",,,,,,,"Knee: 1-2 weeks (2020-03-10)",
999331,9,"Darcy Fogarty","ADE","32","FWD",,65.25,20,"14",,,,61,80,65,,65
991773,10,"Billy Frampton","ADE","22","FWD",,43.5,23,"3",54,77,60,,,,,60
998106,11,"Jordan Gallucci","ADE","7","FWD",,49.7,21,"27",,,,,,,,
250417,12,"Bryce Gibbs","ADE","6","MID",,69.08,30,"265",66,74,76,87,81,91,,83.5
1018075,13,"Lachlan Gollant","ADE","44","DEF","MID",0,18,"",,,,,,,,
1008159,14,"William Hamill","ADE","17","DEF",,0,19,"",,,,,,,,
290228,15,"Kyle Hartigan","ADE","15","DEF",,44.05,28,"101",,,,,,,,
1005199,16,"Elliott Himmelberg","ADE","34","FWD",,56.86,21,"8",33,76,37,,,,,37
1006203,17,"Chayce Jones","ADE","1","FWD",,50,19,"8",74,69,91,34,79,37,,64
993946,18,"Ben Keays","ADE","28","FWD",,70,22,"30",44,45,83,,,,,83
297473,19,"Jake Kelly","ADE","8","DEF",,74.82,24,"75",62,77,68,90,96,80,,74
295103,20,"Riley Knight","ADE","3","FWD",,63.4,24,"54",,,,,,,"Achilles: 3-4 weeks (2020-03-10)",
293222,21,"Rory Laird","ADE","29","DEF",,96.82,26,"143",49,41,102,132,87,129,,115.5
270938,22,"Tom Lynch","ADE","27","FWD",,84.69,29,"139",59,78,64,64,82,66,,65
250362,23,"David Mackay","ADE","14","DEF","MID",66.5,31,"220",56,76,63,,,,,63
298470,24,"Shane McAdam","ADE","23","FWD",,0,24,"",23,67,29,,,,,29
1009201,25,"Fischer Mcasey","ADE","35","DEF",,0,18,"",,,,47,87,46,,46
1008185,26,"Ned McHenry","ADE","25","MID",,0,19,"",37,42,75,,,,,75
997206,27,"Andrew McPherson","ADE","36","DEF",,0,20,"0",,,,,,,,
990882,28,"Wayne Milera","ADE","30","DEF","MID",74.12,22,"60",103,73,120,57,84,58,,89
1000998,29,"Lachlan Murphy","ADE","4","FWD",,54.48,21,"32",31,74,36,26,73,30,,33
297523,30,"Reilly O'Brien","ADE","43","RUC",,95.28,24,"20",95,69,117,60,87,59,,88
1011254,31,"Ronin O'Connor","ADE","37","MID",,0,18,"",,,,,,,,
1000908,32,"Myles Poholke","ADE","10","FWD",,51,21,"11",63,73,73,,,,,73
1008543,33,"Harry Schoenberg","ADE","26","MID",,0,18,"",,,,,,,,
294733,34,"Paul Seedsman","ADE","11","MID",,72.31,27,"101",,,,88,78,96,,96
1006136,35,"Lachlan Sholl","ADE","38","DEF",,0,19,"",,,,,,,,
270963,36,"Rory Sloane","ADE","9","MID",,103,29,"199",49,35,119,83,78,90,,104.5
291748,37,"Brodie Smith","ADE","33","DEF",,88.64,27,"167",,,,121,78,132,,132
997230,38,"Tyson Stengle","ADE","18","FWD",,62,21,"4",61,75,69,55,79,59,,64
1008752,39,"Kieran Strachan","ADE","45","RUC","FWD",0,24,"",,,,,,,,
280934,40,"Daniel Talia","ADE","12","DEF",,69.55,28,"186",80,86,79,90,86,89,,84
280506,41,"Taylor Walker","ADE","13","FWD",,67.32,29,"189",,,,51,86,50,,50
295964,42,"Patrick Wilson","ADE","31","MID",,50,25,"2",59,64,78,,,,,78
1011981,43,"Joshua Worrell","ADE","24","DEF","FWD",0,18,"",,,,,,,,
294168,44,"Marcus Adams","BRL","24","DEF",,58.25,26,"35",15,39,33,35,77,39,,36
298437,45,"Callum Ah Chee","BRL","4","MID",,82,22,"45",42,84,42,39,77,43,,42.5
998268,46,"Jacob Allison","BRL","19","MID",,46.5,21,"10",,,,,,,,
996059,47,"Harris Andrews","BRL","31","DEF",,82.74,23,"95",98,98,85,82,93,75,,80
1005053,48,"Noah Answerth","BRL","43","DEF",,62,20,"17",,,,18,65,24,,24
1002312,49,"Zac Bailey","BRL","33","DEF","MID",48.46,20,"25",78,86,77,74,65,97,,87
1002351,50,"Connor Ballenden","BRL","38","FWD",,0,20,"0",18,52,29,,,,,29
998133,51,"Jarrod Berry","BRL","7","MID",,84.94,21,"55",58,36,137,119,71,142,,139.5
1006100,52,"Thomas Berry","BRL","13","FWD",,0,19,"",,,,,,,,
240302,53,"Grant Birchall","BRL","14","DEF",,77,31,"247",46,67,58,67,64,89,,73.5
990609,54,"Charlie Cameron","BRL","23","FWD",,79.77,25,"106",25,86,25,150,83,154,,89.5
